,GEOID,num_scouts,scouts_per_tract,female_cub_scouts,male_cub_scouts,female_troop_scouts,male_troop_scouts,female_cub_total,female_troop_total,male_cub_total,male_troop_total,fcubs_per_tract,mcubs_per_tract,ftroops_per_tract,mtroops_per_tract,female_scouts,female_per_tract,male_scouts,male_per_tract,cub_youth_total,troop_youth_total,total_pop,cub_scouts,troop_scouts,cub_per_tract,troop_per_tract,2022_youth_total,2022_scouts_per_tract,2023_difference_total,2023_difference_per_tract
33,36005006500,2,0.1943634596695821,0.0,0.0,2.0,0.0,226.0,233.0,356.0,214.0,0.0,0.0,0.8583690987124464,0.0,2.0,0.4357298474945534,0.0,0.0,582.0,447.0,1029,0.0,2.0,0.0,0.44742729306487694,0.0,0.0,2.0,0.1943634596695821
34,36005006700,4,0.2869440459110474,0.0,0.0,2.0,2.0,260.0,215.0,550.0,369.0,0.0,0.0,0.9302325581395349,0.5420054200542005,2.0,0.42105263157894735,2.0,0.2176278563656148,810.0,584.0,1394,0.0,4.0,0.0,0.684931506849315,0.0,0.0,4.0,0.2869440459110474
35,36005006800,26,3.6619718309859155,14.0,11.0,0.0,1.0,48.0,149.0,234.0,279.0,29.166666666666668,4.700854700854701,0.0,0.35842293906810035,14.0,7.1065989847715745,12.0,2.3391812865497075,282.0,428.0,710,25.0,1.0,8.865248226950355,0.23364485981308408,0.0,0.0,26.0,3.6619718309859155
36,36005006900,11,0.9474590869939706,0.0,0.0,5.0,6.0,339.0,245.0,256.0,321.0,0.0,0.0,2.0408163265306123,1.8691588785046727,5.0,0.8561643835616438,6.0,1.0398613518197575,595.0,566.0,1161,0.0,11.0,0.0,1.9434628975265018,0.0,0.0,11.0,0.9474590869939706
37,36005007000,32,4.227212681638045,15.0,17.0,0.0,0.0,219.0,141.0,235.0,162.0,6.8493150684931505,7.234042553191489,0.0,0.0,15.0,4.166666666666666,17.0,4.282115869017632,454.0,303.0,757,32.0,0.0,7.048458149779736,0.0,0.0,0.0,32.0,4.227212681638045
38,36005007100,6,1.1090573012939002,0.0,0.0,2.0,4.0,145.0,138.0,91.0,167.0,0.0,0.0,1.4492753623188406,2.3952095808383236,2.0,0.7067137809187279,4.0,1.550387596899225,236.0,305.0,541,0.0,6.0,0.0,1.9672131147540985,0.0,0.0,6.0,1.1090573012939002
39,36005007200,3,0.3271537622682661,2.0,0.0,0.0,1.0,156.0,244.0,291.0,226.0,1.282051282051282,0.0,0.0,0.4424778761061947,2.0,0.5,1.0,0.19342359767891684,447.0,470.0,917,2.0,1.0,0.44742729306487694,0.2127659574468085,1.0,0.10905125408942204,2.0,0.21810250817884405
40,36005007300,20,1.76678445229682,1.0,19.0,0.0,0.0,192.0,433.0,285.0,222.0,0.5208333333333333,6.666666666666667,0.0,0.0,1.0,0.16,19.0,3.7475345167652856,477.0,655.0,1132,20.0,0.0,4.1928721174004195,0.0,0.0,0.0,20.0,1.76678445229682
41,36005007400,1,0.16260162601626016,0.0,0.0,0.0,1.0,211.0,139.0,149.0,116.0,0.0,0.0,0.0,0.8620689655172413,0.0,0.0,1.0,0.37735849056603776,360.0,255.0,615,0.0,1.0,0.0,0.39215686274509803,0.0,0.0,1.0,0.16260162601626016
42,36005007500,10,0.8203445447087777,1.0,6.0,3.0,0.0,317.0,296.0,338.0,268.0,0.31545741324921134,1.7751479289940828,1.0135135135135136,0.0,4.0,0.6525285481239804,6.0,0.9900990099009901,655.0,564.0,1219,7.0,3.0,1.0687022900763359,0.5319148936170213,0.0,0.0,10.0,0.8203445447087777
